"region_id" "fish_id" "year_class" "station_id" "age_range" "d13c" "d18o"
"267" "JP" "2015_9_HH_T3_39L" 2015 "2015_T3" "A" -6.172228286 0.015518231
"268" "JP" "2015_9_HH_T3_39L" 2015 "2015_T3" "B" -8.517874746 -0.176305584
"269" "JP" "2015_9_HH_T3_39L" 2015 "2015_T3" "C" -9.126506603 -0.129740535
"270" "JP" "2015_9_HH_T3_39L" 2015 "2015_T3" "D" -7.55457112 -0.130054957
"271" "JP" "2015_9_HH_T3_39L" 2015 "2015_T3" "E" -6.511379699 0.09246109
"272" "JP" "2015_9_HH_T3_39L" 2015 "2015_T3" "F" -6.287193428 0.070682423
"273" "JP" "2015_9_HH_T3_39L" 2015 "2015_T3" "G" -6.310153045 0.026942557
"274" "JP" "2015_9_HH_T3_42L" 2015 "2015_T3" "A" -6.275054295 -0.252888086
"275" "JP" "2015_9_HH_T3_42L" 2015 "2015_T3" "B" -8.765463123 -0.842634914
"276" "JP" "2015_9_HH_T3_42L" 2015 "2015_T3" "C" -9.164425575 -0.8600827
"277" "JP" "2015_9_HH_T3_42L" 2015 "2015_T3" "D" -8.379922963 -0.644596018
