"order" "type" "day" "sequence" "slide" "ss_order" "sl_order" "status" "treatment" "id_series" "sl" "mg25" "ca48" "mn55" "sr88" "ba138" "pb208"
"146" 146 "Raster55" "2017-12-13" 6 7 18 18 4 7 "HB-B / 406 / L / 7G" "14.3" 1721.2 3054903.3 20203 11771638.9 18568.6 135.7
"147" 147 "Line56" "2017-12-13" 6 7 19 19 3 5 "CL-B / 1079 / R / 7H" "16.5" 1972.3 3190165.7 19515.3 20698001.8 47204.5 108.9
"148" 148 "Raster56" "2017-12-13" 6 7 20 20 4 5 "CL-B / 1079 / R / 7H" "16.5" 1607.9 2535212.8 20083.3 10613586.9 15370.8 107.2
"149" 149 "MACS-3 22" "2017-12-13" 6 8 21 1 1 NA NA NA 179402.5 1762691.9 802329.3 12787214.3 113173.6 77669.4
"150" 150 "Blank22" "2017-12-13" 6 8 22 2 2 NA NA NA 349.5 7786.2 19524 11655.1 108.6 71.2
"151" 151 "Line57" "2017-12-13" 6 8 23 3 3 8 "AB / 1803 / R / 8A" "12" 8240.3 2697648.3 19844.3 10131779.5 13063 118
"152" 152 "Raster57" "2017-12-13" 6 8 24 4 4 8 "AB / 1803 / R / 8A" "12" 19372.2 3318615.5 24092 11157290.7 25889.5 96.1
"153" 153 "Line58" "2017-12-13" 6 8 25 5 3 2 "WF-B / 1136 / L / 8B" "17" 3538.9 3602877.1 19999.6 18013918.5 31196.4 123.9
"154" 154 "Raster58" "2017-12-13" 6 8 26 6 4 2 "WF-B / 1136 / L / 8B" "17" 4105.7 2554434 19749.4 9878924.2 11380.3 245
"155" 155 "Line59" "2017-12-13" 6 8 27 7 3 3 "EF / 236 / R / 8C" "14.6" 4529.4 3608449.9 19910.5 12491204.6 11943.1 131.4
"156" 156 "Raster59" "2017-12-13" 6 8 28 8 4 3 "EF / 236 / R / 8C" "14.6" 4119.1 2729842.5 20044.1 13875379.3 13343.4 105.1
"157" 157 "Line60" "2017-12-13" 6 8 29 9 3 4 "CL-S / 1075 / L / 8D" "10" 8322.3 3179692.6 20360.6 9772384.4 15695.4 430
"158" 158 "Raster60" "2017-12-13" 6 8 30 10 4 4 "CL-S / 1075 / L / 8D" "10" 8229.7 3151886.1 20376.6 8743963.4 16649.3 165.5
"159" 159 "MACS-3 23" "2017-12-13" 6 8 31 11 1 NA NA NA 192007.3 1916492.5 859567.5 13734796.4 120534.8 79542.6
"160" 160 "Blank23" "2017-12-13" 6 8 32 12 2 NA NA NA 331.5 7787.2 18766.3 12854 105.4 69.6
"161" 161 "Line61" "2017-12-13" 6 8 33 13 3 7 "HB-B / 417 / R / 8E" "13.5" 2579.9 2973366.5 19900.5 10142856.3 12357.6 115.9
"162" 162 "Raster61" "2017-12-13" 6 8 34 14 4 7 "HB-B / 417 / R / 8E" "13.5" 1612.7 2658361.6 19852.5 7706158.1 9297.4 79.4
"163" 163 "Line62" "2017-12-13" 6 8 35 15 3 1 "WF-S / 3634 / L / 8F" "11" 9058.4 3109649.8 19758.6 10509389.6 20051.6 110.6
"164" 164 "Raster62" "2017-12-13" 6 8 36 16 4 1 "WF-S / 3634 / L / 8F" "11" 14145.2 2789214.3 22839.4 8678267 33831.5 197.1
"165" 165 "Line63" "2017-12-13" 6 8 37 17 3 5 "CL-B / 2051 / L / 8G" "16.2" 6458.1 3546515.7 19835 11517844.4 18063.3 107.5
"166" 166 "Raster63" "2017-12-13" 6 8 38 18 4 5 "CL-B / 2051 / L / 8G" "16.2" 9306.3 2760550.8 19831.5 13269059.5 18460.5 151.7
"167" 167 "Line64" "2017-12-13" 6 8 39 19 3 6 "HB-S / 436 / R / 8H" "9" 9644.9 3341523 19696 13248640.1 16027.6 109.3
